Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime
41,Yes,Travel_Rarely,Sales,1,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes
49,No,Travel_Frequently,Research & Development,8,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No
37,Yes,Travel_Rarely,Research & Development,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes
33,No,Travel_Frequently,Research & Development,3,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes
27,No,Travel_Rarely,Research & Development,2,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No
32,No,Travel_Frequently,Research & Development,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No
59,No,Travel_Rarely,Research & Development,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes
30,No,Travel_Rarely,Research & Development,24,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No
38,No,Travel_Frequently,Research & Development,23,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No
36,No,Travel_Rarely,Research & Development,27,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No
35,No,Travel_Rarely,Research & Development,16,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No
29,No,Travel_Rarely,Research & Development,15,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes
31,No,Travel_Rarely,Research & Development,26,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No
34,No,Travel_Rarely,Research & Development,19,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No
28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes
29,No,Travel_Rarely,Research & Development,21,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No
32,No,Travel_Rarely,Research & Development,5,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes
22,No,Non-Travel,Research & Development,16,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes
53,No,Travel_Rarely,Sales,2,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No
38,No,Travel_Rarely,Research & Development,2,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes
24,No,Non-Travel,Research & Development,11,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No
36,Yes,Travel_Rarely,Sales,9,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No
34,No,Travel_Rarely,Research & Development,7,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No
21,No,Travel_Rarely,Research & Development,15,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No
34,Yes,Travel_Rarely,Research & Development,6,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No
53,No,Travel_Rarely,Research & Development,5,Other,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No
32,Yes,Travel_Frequently,Research & Development,16,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes
42,No,Travel_Rarely,Sales,8,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No
44,No,Travel_Rarely,Research & Development,7,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No
46,No,Travel_Rarely,Sales,2,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No
33,No,Travel_Rarely,Research & Development,2,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No
44,No,Travel_Rarely,Research & Development,10,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes
30,No,Travel_Rarely,Research & Development,9,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No
39,Yes,Travel_Rarely,Sales,5,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No
24,Yes,Travel_Rarely,Research & Development,1,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes
43,No,Travel_Rarely,Research & Development,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No
50,Yes,Travel_Rarely,Sales,3,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes
35,No,Travel_Rarely,Sales,2,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No
36,No,Travel_Rarely,Research & Development,5,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes
33,No,Travel_Frequently,Sales,1,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No
35,No,Travel_Rarely,Research & Development,4,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No
27,No,Travel_Rarely,Research & Development,2,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No
26,Yes,Travel_Rarely,Research & Development,25,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No
27,No,Travel_Frequently,Sales,8,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No
30,No,Travel_Frequently,Research & Development,1,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No
41,Yes,Travel_Rarely,Research & Development,12,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No
34,No,Non-Travel,Sales,23,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No
37,No,Travel_Rarely,Research & Development,19,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No
46,No,Travel_Frequently,Sales,5,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes
35,No,Travel_Rarely,Research & Development,8,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No
48,Yes,Travel_Rarely,Research & Development,1,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes
28,Yes,Travel_Rarely,Research & Development,5,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes
44,No,Travel_Rarely,Sales,1,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes
35,No,Non-Travel,Research & Development,11,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes
26,No,Travel_Rarely,Sales,23,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes
33,No,Travel_Frequently,Research & Development,1,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes
35,No,Travel_Frequently,Sales,18,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No
35,No,Travel_Rarely,Research & Development,23,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes
31,No,Travel_Rarely,Research & Development,7,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No
37,No,Travel_Rarely,Research & Development,1,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No
32,No,Travel_Rarely,Research & Development,1,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes
38,No,Travel_Frequently,Research & Development,29,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No
50,No,Travel_Rarely,Research & Development,7,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes
59,No,Travel_Rarely,Sales,25,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No
36,No,Travel_Rarely,Research & Development,8,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No
55,No,Travel_Rarely,Research & Development,8,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes
36,No,Travel_Frequently,Research & Development,11,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No
45,No,Travel_Rarely,Research & Development,7,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No
35,No,Travel_Frequently,Research & Development,1,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No
36,Yes,Travel_Rarely,Research & Development,9,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes
59,No,Travel_Frequently,Sales,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No
29,No,Travel_Rarely,Research & Development,2,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No
31,No,Travel_Rarely,Research & Development,1,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No
32,No,Travel_Rarely,Research & Development,1,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No
36,No,Travel_Rarely,Research & Development,6,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No
31,No,Travel_Rarely,Research & Development,8,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No
35,No,Travel_Rarely,Sales,1,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No
45,No,Travel_Rarely,Research & Development,6,Other,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes
37,No,Travel_Rarely,Research & Development,7,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No
46,No,Travel_Rarely,Human Resources,5,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes
30,No,Travel_Rarely,Research & Development,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes
35,No,Travel_Rarely,Research & Development,1,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No
55,No,Travel_Rarely,Sales,1,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No
38,No,Non-Travel,Research & Development,6,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes
34,No,Travel_Rarely,Research & Development,1,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No
56,No,Travel_Rarely,Research & Development,7,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No
23,No,Travel_Rarely,Sales,2,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No
51,No,Travel_Rarely,Research & Development,9,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No
30,No,Travel_Rarely,Research & Development,2,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No
46,Yes,Travel_Rarely,Sales,9,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No
40,No,Travel_Frequently,Research & Development,1,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No
51,No,Travel_Rarely,Sales,21,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes
30,No,Travel_Rarely,Sales,4,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes
46,No,Travel_Frequently,Research & Development,1,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes
32,No,Travel_Rarely,Sales,6,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,No
54,No,Travel_Rarely,Research & Development,2,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,Y,No
24,No,Travel_Rarely,Sales,3,Other,128,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No
28,No,Non-Travel,Sales,4,Medical,129,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No
58,No,Travel_Rarely,Sales,10,Medical,131,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No
44,No,Non-Travel,Research & Development,23,Medical,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,No
37,Yes,Travel_Rarely,Human Resources,6,Human Resources,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes
32,No,Travel_Rarely,Research & Development,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,Y,No
20,Yes,Travel_Frequently,Research & Development,6,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes
34,No,Travel_Rarely,Research & Development,6,Other,138,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No
37,No,Non-Travel,Research & Development,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No
59,No,Non-Travel,Human Resources,2,Human Resources,140,3,Female,32,2,5,Manager,4,Married,18844,21922,9,Y,No
50,No,Travel_Frequently,Research & Development,1,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,18172,9755,3,Y,Yes
25,Yes,Travel_Rarely,Sales,5,Marketing,142,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes
25,No,Travel_Rarely,Research & Development,7,Medical,143,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,No
22,No,Travel_Rarely,Research & Development,15,Medical,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,23785,1,Y,No
51,No,Travel_Frequently,Research & Development,1,Medical,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,Y,No
34,Yes,Travel_Frequently,Research & Development,7,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes
54,No,Non-Travel,Human Resources,26,Human Resources,148,4,Female,30,4,4,Manager,4,Single,17328,13871,2,Y,Yes
24,No,Travel_Rarely,Research & Development,18,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,Y,No
34,No,Travel_Rarely,Research & Development,6,Life Sciences,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505,15000,6,Y,No
37,No,Travel_Rarely,Sales,3,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,Y,No
34,No,Travel_Rarely,Research & Development,5,Medical,153,3,Female,45,2,3,Manager,1,Single,11631,5615,2,Y,No
36,No,Travel_Frequently,Sales,11,Technical Degree,154,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,0,Y,No
36,No,Travel_Rarely,Research & Development,3,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No
43,No,Travel_Frequently,Sales,26,Life Sciences,158,3,Male,92,3,4,Manager,4,Married,16959,19494,1,Y,Yes
30,No,Travel_Frequently,Research & Development,23,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No
33,No,Non-Travel,Sales,22,Marketing,160,3,Male,95,3,2,Sales Executive,2,Married,6146,15480,0,Y,No
56,Yes,Travel_Rarely,Research & Development,14,Life Sciences,161,2,Female,72,3,1,Research Scientist,2,Married,4963,4510,9,Y,Yes
51,No,Travel_Rarely,Research & Development,6,Life Sciences,162,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,Y,No
31,Yes,Travel_Rarely,Sales,6,Life Sciences,163,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes
26,No,Travel_Rarely,Research & Development,6,Other,164,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,Y,No
58,Yes,Travel_Rarely,Research & Development,23,Medical,165,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No
19,Yes,Travel_Rarely,Sales,22,Marketing,167,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,Y,Yes
22,No,Travel_Rarely,Research & Development,2,Technical Degree,169,3,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,0,Y,No
49,No,Travel_Rarely,Research & Development,20,Medical,170,3,Female,96,3,2,Manufacturing Director,1,Married,6567,5549,1,Y,No
